trade_date,size_bucket,factor,total,non_missing,coverage
2022-07-04,2,vol_60,12,0,0.0
2022-07-04,3,vol_60,12,0,0.0
2022-07-04,4,vol_60,12,0,0.0
2022-07-05,0,vol_60,12,0,0.0
2022-07-05,1,vol_60,12,0,0.0
2022-07-05,2,vol_60,12,0,0.0
2022-07-05,3,vol_60,12,0,0.0
2022-07-05,4,vol_60,12,0,0.0
2022-07-06,0,vol_60,12,0,0.0
2022-07-06,1,vol_60,12,0,0.0
2022-07-06,2,vol_60,12,0,0.0
2022-07-06,3,vol_60,12,0,0.0
2022-07-06,4,vol_60,12,0,0.0
2022-07-07,0,vol_60,12,0,0.0
2022-07-07,1,vol_60,12,0,0.0
2022-07-07,2,vol_60,12,0,0.0
2022-07-07,3,vol_60,12,0,0.0
2022-07-07,4,vol_60,12,0,0.0
2022-07-08,0,vol_60,12,0,0.0
2022-07-08,1,vol_60,12,0,0.0
2022-07-08,2,vol_60,12,0,0.0
2022-07-08,3,vol_60,12,0,0.0
